"year","traditional_budget","standardized_budget","space_equitable_budget","space_time_equitable_budget","n_obs"
"2012","-85.6933796312485","-256.875484075617","-98.3860873195679","-59.9177983627816","2001"
"2013","-413.565549238305","-248.352555244311","-428.394447044779","-297.120556338746","9784"
"2014","-143.045430955855","-147.02332809424","-151.911565148575","-20.2772296000737","5760"
